listing_number,price,beds,baths,sq_ft,description,key_details,walkscore
8989668,775000,3,2,1514,"RARE OPPORTUNITY to own a multi-family property in Allston, a stone's throw from the BU campus, a perfect rental for students or young professionals.This is an INVESTMENT property that needs a lot of work, and the seller prefers that the buyer takes on the furniture and items that are in the house, although she is open to paying for a clean-out service if the offer number is right. The owners were living in it as a single family, although it is zoned as a 2 family, and they made modifications that will need to be undone to convert the first floor back to an apartment that can be rented out. It needs kitchen appliances, the living room and one of the bedrooms were combined so right now it's a one bedroom apt instead of a 2 bedroom. The 2nd floor is a 2 bed. There is a front porch, and both apts have back decks. There is an enclosed yard, currently overgrown but with enormous potential to be a really nice seating area/garden. Full basement. Amazing opportunity, will move quickly!","Clock: 2 days on Redfin; House: Single-family; Wrench: Built in 1920; Fence: 2,923 sq ft lot; Ruler: $512 per sq ft; Car: 2 parking spaces; Washer: In-unit laundry (washer and dryer); New construction: Boston",Walk: 60/100 Somewhat Walkable | Transit: 65/100 Good transit | Bike: 88/100 Very bikeable
9159018,649999,3,2,1885,"Charming three story colonial home built in 2003 located in the Southwest District of Boston. First story offers access to the home from the garage, a full bathroom, laundry and plenty of storage space (additional storage in the attic) along with access to the backyard. New water heater installed in 2019. Kitchen and living room located on the second story that offers access to the deck and the backyard. Third story contains 3 bedrooms and a full size bathroom. Hardwood floors and tile throughout the entire home. Attached garage with a paved driveway and on street parking. Conveniently located near public transportation n, Rt 93, shopping, dining, a golf course, trails and so much more!","Clock: 2 days on Redfin; House: Single-family; Wrench: Built in 2003; Fence: 3,816 sq ft lot; Ruler: $345 per sq ft; Car: 1 garage spaces (3 total); Washer: Washer and dryer hookups; New construction: Boston",Walk: 61/100 Somewhat Walkable | Transit: 56/100 Good transit | Bike: 32/100 Somewhat bikeable
145578915,65000000,9,13.5,98205,"Presenting Rozzie, a newly constructed 106-unit apartment community located in the bustling Boston neighborhood of Roslindale. Rozzie offers unmatched community amenities and apartment finishes including a library lounge, fully equipped fitness center, great room with community kitchen, outdoor terrace with grilling station, and heated garage. Apartments offer in-unit washers and dryers, stainless steel appliances, quartz countertops and marble style flooring.",Clock: 2 days on Redfin; Multi family: Multi-family (5+ unit); Wrench: Built in 2024; Fence: 2.01 acres; Ruler: $662 per sq ft; Car: 99 parking spaces; New construction: Boston,Walk: 60/100 Somewhat Walkable | Transit: 54/100 Good transit | Bike: 54/100 Bikeable
14155863,4195000,3,2.5,2068,"Contemporary Penthouse features Water/City views with spanning Private Terrace, Floor-to-Ceiling Windows, Three bedrooms, and Garage parking. Living/Dining with Water & City Views, new HDW floors, and multiple access to outdoor space. Modern Chef's kitchen w/ stone countertops, new cabinetry, Sub-zero/Wolf appliances, separate pantry, and bar seating. Master suite with TV/Den, views, terrace and walk-in closet. Stunning marble bath with double vanity, Jacuzzi tub, and Spa-like shower and harbor views. Guest bedroom w/additional views, step-out balcony, and walk-in closet. Third bedroom with additional access to terrace and built-ins. Deeded Private Storage, Bicycle Storage, and Garage valet parking. Full hotel services, guest parking, meeting rooms, event facilities, 24/7 fitness center, fine dining, and The Exhale Spa. On Boston’s Harbor, next to the North End, Seaport, Financial District, The Greenway, South Station, TD Garden, Downtown Boston and all major transportation points.","Clock: 2 days on Redfin; Condo: Condo; Wrench: Built in 2008; Fence: 2,068 sq ft lot; Ruler: $2,029 per sq ft; High end tour: $3,562 monthly HOA fee; Car: 1 garage space; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Waterfront",Walk: 96/100 Walker's Paradise | Bike: 82/100 Very bikeable
193222704,1250000,10,3,3300,"Recently renovated, de-leaded, 3 family in Fields Corner. Three units fully occupied, offering 10 bedrooms across three units. The first and second floor offer 4 spacious bedrooms each, both with a renovated kitchen with Gas cooking and stainless steel appliances. 3rd floor unit is a 2 bedroom, 1 bathroom, with an eat-in kitchen and a nice rear deck. Close proximity to Fields Corner T Station. First floor offers 4 Good sized bedrooms, with one bathroom. Tankless water heating for all units. Coin-op Laundry in basement. Side driveway leads to a garage with access to a rear yard. Easy access to Fields Corner T Station, Doherty Park, and all of the shopping & dining along Dorchester Ave.","Clock: 2 days on Redfin; Multi family: Multi-family (2-4 unit); Wrench: Built in 1895; Fence: 5,000 sq ft lot; Ruler: $379 per sq ft; Car: 1 garage spaces (3 total); New construction: Dorchester's Fields Corner",Walk: 83/100 Very Walkable | Transit: 72/100 Excellent transit | Bike: 60/100 Bikeable
8987746,575000,2,1.5,778,"Welcome to 15 N Beacon St, a premier luxury building offering modern living and ultimate convenience. Recently renovated, the building now boasts a state-of-the-art lobby and refreshed hallways. This stylish ground-level condo features an open-concept layout with two spacious bedrooms and 1.5 bathrooms, perfect for comfortable city living. Nestled in a vibrant neighborhood, you're just steps away from popular dining, shopping, and public transportation. Building amenities include concierge, fitness center, rooftop pool, and secured garage parking. Ideal for those seeking a blend of luxury and accessibility. Unit is currently leased through August 2025 at $3,500/month, making it a great investment.",Clock: 2 days on Redfin; Condo: Condo; Wrench: Built in 1989; Ruler: $739 per sq ft; High end tour: $780 monthly HOA fee; Car: 1 garage space; Temperature: Has A/C; Washer: Shared laundry; New construction: Boston,Walk: 98/100 Walker's Paradise | Transit: 65/100 Good transit | Bike: 82/100 Very bikeable
9229942,2150000,1,2,1054,"RENOVATED, FURNISHED move in ready home at the coveted Residences at Rowes Wharf on Boston Harbor! This south facing one bedroom, two full bath luxury residence has an open floor plan which maximizes use of space. Elegantly decorated, the home boasts a bold color palette and innovative design w/great attention to detail. Enjoy harbor views from the 23'4 x 18'9 fireplaced grand living room w/hardwood floors, intricate lighting and oversized picture windows. Full kitchen with an abundance of cabinets, stainless appliances and wine refrigeration. In unit W/D and one garage pkg space (#44).The Residences at Rowes Wharf is a full service luxury building with 24-hr.concierge, doorman and valet parking. Adjacent to the prestigious 5-star Boston Harbor Hotel, residents enjoy full access to hotel amenities, including the newly renovated health club w/ indoor swimming pool and room service (at add'l charge). Close proximity to Faneuil Hall, The Greenway and the Harbor Walk","Clock: 2 days on Redfin; Condo: Condo; Wrench: Built in 1988; Ruler: $2,040 per sq ft; High end tour: $2,117 monthly HOA fee; Car: 1 garage space; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Waterfront",Walk: 97/100 Walker's Paradise | Transit: 100/100 Rider's paradise | Bike: 83/100 Very bikeable
145895521,619000,,1,537,"Move into this stunning studio at The Muse in South Boston’s Seaport, nestled in the vibrant Fort Point neighborhood. This newly renovated unit features high ceilings, exposed brick, original wood beam ceilings, stainless steel appliances, and in-unit laundry. Enjoy the convenience of living close to top restaurants, South Station, and the financial district. Experience the perfect blend of historic charm and modern amenities in one of Boston’s most dynamic areas!","Clock: 2 days on Redfin; Condo: Condo; Wrench: Built in 1916; Ruler: $1,153 per sq ft; High end tour: $579 monthly HOA fee; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Boston",Walk: 85/100 Very Walkable | Transit: 97/100 Rider's paradise | Bike: 76/100 Very bikeable
11736333,1399999,8,3,3270,"Opportunity is NOW! NICE three family home sitting on a beautiful double lot (7428 sq.ft). The extra lot of land is 3712 sq.ft. It is nicely landscaped and features a large paved driveway and patio. Conveniently located near public transportation, schools, and shops. This property is well maintained. All of the units are spacious with high ceilings. All have separate utilities. All three units are deleaded. Apartments two and 3 have washer/dryer hookups in the unit. Schedule your appointment now!","Clock: 3 days on Redfin; Multi family: Multi-family (2-4 unit); Wrench: Built in 1905; Fence: 3,716 sq ft lot; Ruler: $428 per sq ft; Car: 4 parking spaces; New construction: Boston",Walk: 82/100 Very Walkable | Transit: 76/100 Excellent transit | Bike: 62/100 Bikeable
9090835,779900,6,2,2871,"Ashmont area - located just off Washington Street - Large 2 fam Multifamily in need of some cosmetics. This deceptively large 2 fam was built in 1950! There are two 3 bed/1 bath apartments - both vacant at closing. Newer oil heating systems and gas fired hot water heaters. New oil tanks, with a 2 year old roof & vinyl windows. Newer Laundry machines in the basement will stay for new owner. Needs some TLC, but the bones are good, and there's off street tandem parking for 3 cars! Bus, Ashmont T Station and Commuter rail all close by. This won't last! Keep busy working inside this winter!! Delivered vacant!","Clock: 3 days on Redfin; Multi family: Multi-family (2-4 unit); Wrench: Built in 1950; Fence: 4,941 sq ft lot; Ruler: $272 per sq ft; New construction: Dorchester",Walk: 69/100 Somewhat Walkable | Transit: 74/100 Excellent transit | Bike: 49/100 Somewhat bikeable
9181074,600000,3,1,1221,"NEW LISTING! COMMUTER'S OPEN HOUSE THURSDAY 10/24 - 4:30 - 5:30pm. Attention First Time Buyers & Empty Nesters! This charming cape style home is a perfect low maintenance condo alternative with vinyl-siding & many updates including central air & furnace, new rear roof shingles, electrical service, granite kitchen countertop & rear deck flooring. This home features an open kitchen-dining area and a lovely sunroom that exits to the large rear deck. Foliage at the rear of the property gives the backyard privacy & separation from the George Wright Golf Course nearby. There is also a first floor bedroom, full bath & living room w/fireplace. Upstairs are two additional bedrooms. Basement has laundry & lots of storage space plus a detached garage offers extra storage. Washer, dryer & refrigerator are included in the sale, so you can settle in the day that you close! >>>Offers reviewed as submitted. Please allow at least 24 hours for response.<<< Don't miss this one!","Clock: 4 days on Redfin; House: Single-family; Wrench: Built in 1940; Fence: 4,759 sq ft lot; Ruler: $491 per sq ft; Car: 1 garage spaces (3 total); Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Roslindale",Walk: 47/100 Car-Dependent | Transit: 52/100 Good transit | Bike: 27/100 Somewhat bikeable
9129485,959900,6,2.5,2572,"Rare opportunity to own a stately Fairmont Hill duplex with two townhouse style homes on left and right sides. The property has 3/4 levels of living in each unit. Large full front porch with twin rear private decks with fenced back yard. Interior includes gleaming hardwood & ceramic tile floors and much more. Laundry hookup in each unit with spacious floor plans and full basement. Gas HVAC Central Air and off street parking. Many possibilities!!! This property is ready to condo, rent or move right in to vacant unit and owner occupy a beautiful townhome. Separate utilities for each unit and many updates. Close to everything!! Located steps from shops, Cleary Square, Fairmont Commuter Rail Station and easy highway access.","Clock: 4 days on Redfin; Multi family: Multi-family (2-4 unit); Wrench: Built in 1910; Fence: 5,023 sq ft lot; Ruler: $373 per sq ft; Car: 4 parking spaces; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Hyde Park's Fairmount",Walk: 63/100 Somewhat Walkable | Transit: 57/100 Good transit | Bike: 45/100 Somewhat bikeable
9330090,3395000,3,3,2131,"Rare Offering:Corner Penthouse Masterpiece!This custom designed home boasts 3 bd/3 bth, a stunning living space defined by dramatic skyline views & an abundance of SW light.Open concept design seamlessly merges living,dining & kitchen areas.The LR has 18’ floor to ceiling windows with gorgeous city views.Gourmet kitchen outfitted w/ Sub-Zero & Wolf appliances,custom cabinetry,marble counters/island offering beauty & functionality.Lutron system,RC shades,white oak floors, Nanowall opening to 36’ patio,coffered ceilings,designer wallpaper/fixtures,glass stairs allowing for a seamless transition btwn levels.The primary suite has 2 large custom closets,Stark carpet,floor to ceiling windows, expansive city views, spa like bath w/custom cabinetry, dbl marble sinks,rain shower w/ high end fixtures.Peace of mind provided by 24/7 concierge,direct-access garage w/2 designated single spots.Ideally situated 2 blks from Seaport,10 minutes from Logan.This PH is a curated experience of luxury living!","Clock: 4 days on Redfin; Condo: Condo; Wrench: Built in 2004; Fence: 2,131 sq ft lot; Ruler: $1,593 per sq ft; High end tour: $2,269 monthly HOA fee; Car: 2 garage spaces; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Seaport District",Walk: 89/100 Very Walkable | Transit: 82/100 Excellent transit | Bike: 74/100 Very bikeable
9227718,545000,2,1,604,"Great 2 bedroom condo close to M St Beach. Cozy and clean unit ready for its next occupants. Updated appliances and bathroom, A/C, hardwood floors throughout with an amazing back deck. 3 unit condo association self managed with reasonable condo fees. Great price point to get into South Boston. Showings begin on Tuesday.",Clock: 4 days on Redfin; Condo: Condo; Wrench: Built in 1905; Fence: 604 sq ft lot; Ruler: $902 per sq ft; High end tour: $112 monthly HOA fee; Washer: In-unit laundry (washer and dryer); New construction: South Boston,Walk: 62/100 Somewhat Walkable | Transit: 46/100 Some transit | Bike: 76/100 Very bikeable
193207835,500000,1,1,600,"Beautiful Discover modern urban living in this brand-new, ground-up construction 1-bedroom, 1-bathroom condo, ideally situated in the heart of East Boston. With thoughtful design and high-end finishes throughout, this unit offers a perfect blend of style, convenience, and functionality. Bright and airy open-concept living space with large windows that fill the space with natural light, perfect for relaxing or entertaining. Modern Kitchen with fully equipped kitchen featuring stainless steel appliances, Quartz countertops, & ample cabinet space. King sized bedrooms with Walk in Closet. Deeded Section of Roof Rights. Stylishly large bathroom with contemporary fixtures and a relaxing ambiance. In-Unit Laundry. Ideal for first-time homebuyers or those looking to downsize. Easy access Blue Line, downtown Boston, and Logan Airport. Across the street from Bremen Park, trails, urban gardens, waterfronts, local restaurants, and shopping. Come see these preconstruction units. Appt only.","Clock: 4 days on Redfin; Condo: Condo; Wrench: Built in 2024; Fence: 3,750 sq ft lot; Ruler: $833 per sq ft; High end tour: $250 monthly HOA fee; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Boston",Walk: 90/100 Walker's Paradise | Transit: 77/100 Excellent transit | Bike: 75/100 Very bikeable
9323662,719000,1,1,749,"A very rare, one-of-a-kind penthouse condo with soaring 15-foot cathedral ceilings and oversized windows. Experience luxurious loft-style living in the heart of the East Side. No walking blocks or driving is needed here—dining, shopping, coffee shops, and groceries are just steps from your door. What makes this unit truly unique is its end-of-the-block location with open exposures on three sides. You’ll enjoy privacy from neighbors while full sun pours in from sunrise to sunset.New designer upgrades include cabinetry, waterfall countertops, custom built-ins, smart appliances, a Ruvati workstation sink, professional ambient platform lighting, and oversized high-end designer fans. The unit is designed for both comfort and utility, featuring an upgraded HVAC system, in-unit storage solutions, and extra basement storage.End your day dining fireside or entertaining outdoors on your private deck with friends.",Clock: 5 days on Redfin; Condo: Condo; Wrench: Built in 1910; Fence: 749 sq ft lot; Ruler: $960 per sq ft; High end tour: $248 monthly HOA fee; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: South Boston,Walk: 90/100 Walker's Paradise | Transit: 47/100 Some transit | Bike: 73/100 Very bikeable
193205312,689995,6,2,2250,INVESTORS & CONTRACTORS WANTED! Potential two properties for the price of one! Potential to turn this property into a 3 unit dwelling and then build another 2 or 3 family next door OR maybe make one large building! Currently on the lot is a good boned 2 family ready for your finishing! Bring this property back to its glory without demolition needed as it is gutted to the studs. Easy access to public transportation and stores! First viewings at Open House on Sunday (10/20) from 12-1:30pm,"Clock: 5 days on Redfin; Multi family: Multi-family (2-4 unit); Wrench: Built in 1900; Fence: 8,622 sq ft lot; Ruler: $307 per sq ft; New construction: Dorchester",Walk: 59/100 Somewhat Walkable | Transit: 68/100 Good transit | Bike: 62/100 Bikeable
9109720,1249000,3,1.5,2923,"Amazing large brick home in desirable Orient Heights area. The home features 2923 square feet of living area on three levels including an income generating studio apartment with its own entrance. The first floor features a living room, formal dining room, eat-in kitchen with slider door onto the deck, an office, and a half bath; the second floor offers three bedrooms, with a large primary bedroom and a full bathroom. Large yard with in-ground pool, shed, and driveway. The home offers an updated electrical, a split system for AC, solar panels, gas steam heat, a new hot water tank, and a newer roof.","Clock: 5 days on Redfin; House: Single-family; Wrench: Built in 1920; Fence: 7,634 sq ft lot; Ruler: $427 per sq ft; Car: 2 parking spaces; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: East Boston's Orient Heights",Walk: 69/100 Somewhat Walkable | Transit: 61/100 Good transit | Bike: 37/100 Somewhat bikeable
193204450,1050000,3,3.5,1660,"Introducing 272 East Eagle, a new construction boutique condo building with one of a kind finishes that exemplifies refined City living. Each unit features incredible natural light, private outdoor space, water and park views. Situated on Eagle Hill, minutes to the Wood Island T, surrounded by parks, and some of East Boston’s top food destinations. Unit 4 is one of two remaining penthouse duplex condos w/ three bedrooms, each with en suite bathrooms & walk-in closets. The living room overlooks your private deck with water views, and is accented with a gas fireplace for those cold nights. Additionally on the main floor, you’ll find the first bedroom suite, a kitchen equipped with custom cabinetry, an island with stone countertops, and appliances that every at-home chef would appreciate. On the top floor you'll find the additional bedroom suites, one with water views and the other with park views. One Garage Space included.",Clock: 5 days on Redfin; Condo: Condo; Wrench: Built in 2024; Ruler: $633 per sq ft; High end tour: $250 monthly HOA fee; Car: 1 garage space; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: East Boston's Eagle Hill,Walk: 87/100 Very Walkable | Transit: 65/100 Good transit | Bike: 58/100 Bikeable
193204328,4395000,3,3.5,2497,"New construction parlor-to-garden triplex overlooking the fountain of lovely Concord Square! This sun-filled home has been built to the highest standards, sporting custom finishes throughout. With 3 beds, 3.5 baths, a living/dining/kitchen level with dramatic high ceilings, a large family room, generous closets, gas FP's in the living/dining room and family room, and light white oak plank floors. The paved and heated parking space is accessed directly through your private patio. The eat-in kitchen has island seating and opens directly to a private deck with a hard-piped gas Weber grill. A large pantry with coffee bar also has a Monogram wine cooler. The stainless steel-lined True refrigerator/freezer is complemented by a Miele dishwasher, 6-burner Monogram cooktop with vented hood and Monogram wall ovens, one of which is a convection microwave. The primary suite has a huge walk-in closet and a gorgeous bath with double vanity. Smart home systems & audio complete this amazing home!","Clock: 5 days on Redfin; Condo: Condo; Wrench: Built in 1865; Fence: 1,743 sq ft lot; Ruler: $1,760 per sq ft; High end tour: $682 monthly HOA fee; Car: 1 parking space; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: South End",Walk: 96/100 Walker's Paradise | Transit: 96/100 Rider's paradise | Bike: 96/100 Biker's paradise
193204206,739900,2,2,852,"Outstanding opportunity to own a sun drenched 2 bedroom condo in the heart of Jeffries Point! Unit 4 is part of the CORE collection at 25 Everett, comprised of six luxury new construction condos. This 2nd floor home has open exposure on three sides, a rarity in the City! Both bedrooms enjoy loads of natural light, and one even offers a Juliette balcony! The primary bath features a walk in shower with true rain-shower fixture. Full eat-in kitchen with GE appliances, wood floors throughout, 3 zones of heating and cooling via in ceiling heatpump (mini split) systems and a deeded parking space in the rear. Don’t miss this opportunity to live in the heart of Jeffries Point with access to the waterfront, MBTA, Shops, Restaurants, and all that East Boston has to offer. Now showing all six units, inquire about other layouts!",Clock: 5 days on Redfin; Condo: Condo; Wrench: Built in 2024; Ruler: $868 per sq ft; High end tour: $204 monthly HOA fee; Car: 1 parking space; Temperature: Has A/C; New construction: East Boston,Walk: 92/100 Walker's Paradise | Transit: 76/100 Excellent transit | Bike: 77/100 Very bikeable
9055212,2150000,4,4.5,3588,"Located at one of the highest points in Boston, this magnificent, 4++BR/4.5BA, single family home has undergone a complete renovation. This light filled home features 3,500+sf of highly finished living space, a spacious patio, and roof deck. The “Forty Steps” across the street provide easy access to town center. The main floor provides ideal entertaining space with a sprawling open living, dining and kitchen area. The finished basement offers a media room/workout area w/full BA and wet bar w/beverage fridge. The second level features a spacious primary suite with king size bedroom, walk-in closet/dressing room, and spa like full bath w/separate shower, floating tub, double vanity and heated floor. An additional bedroom, bath and laundry center complete this level. The top floor has Cambridge views and offers two ample size bedrooms, a nursery/office and full BA w/tub. Exceptional green space is located just down the block w/the Doherty Playground and newly renovated Clougherty pool.","Clock: 5 days on Redfin; House: Single-family; Wrench: Built in 1899; Fence: 1,417 sq ft lot; Ruler: $599 per sq ft; Car: 1 parking space; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Charlestown",Walk: 77/100 Very Walkable | Transit: 61/100 Good transit | Bike: 49/100 Somewhat bikeable
9273463,399000,,1,340,"Welcome to the desirable Lincoln Halls in West Fenway. Cozy and thoughtfully designed studio that balances charm and functionality for comfortable living in the heart of Boston. Enjoy the serene Emerald Necklace Park. Excellent move-in condition. High ceilings create an airy and open feel. Elegant Hardwood flooring adds warmth throughout. Walk in Closet. Skillfully detailed tiles and shower walls. Professionally well managed building with onsite Laundry, pristine kept hallways, and bike Storage. Perfect location with a short walk to Back Bay, Longwood, Kenmore square, MBTA, Newbury Street, shops, and restaurants. It is a well-priced home that offers an incredible opportunity for an investment or to experience the city living at its best.","Clock: 5 days on Redfin; Condo: Condo; Wrench: Built in 1920; Fence: 340 sq ft lot; Ruler: $1,174 per sq ft; High end tour: $275 monthly HOA fee; Washer: Shared laundry; New construction: The Fenway",Walk: 94/100 Walker's Paradise | Transit: 95/100 Rider's paradise | Bike: 93/100 Biker's paradise
21719272,5799000,4,3,3827,"Panoramic skyline views from every corner of this dramatic Gateway Terrace penthouse! Offering 4 BRs and 3 baths, you'll enjoy the finest city lifestyle in this 3800+ sq ft home. Enter to great room with stunning center-island kitchen featuring top-of-the-line stainless steel appliances, ebony cabinets and granite counters. Oversized windows and doors leading to a massive landscaped terrace with hot tub, gas grill and stairs up to private roof top deck. Separate living room with wet bar plus fourth bedroom or media room/golf sim and full bath complete this level. Gorgeous park and city views across the entire front. Downstairs you'll find the primary suite with adjacent office, huge walk-in closet, sparkling en suite bath with double vanity and walk-in shower. Two additional BRs, full bath and laundry room. 3 garage spaces and storage included. Glamorous living in a landmark elevator building steps to Whole Foods and all the shopping and fine restaurants the South End has to offer.","Clock: 5 days on Redfin; Condo: Condo; Wrench: Built in 2008; Fence: 3,827 sq ft lot; Ruler: $1,515 per sq ft; High end tour: $3,355 monthly HOA fee; Car: 3 garage spaces; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: South End",Walk: 99/100 Walker's Paradise | Transit: 94/100 Rider's paradise | Bike: 80/100 Very bikeable
9268216,712000,1,1,908,"Beautiful Boston Waterfront duplex condo featuring exposed brick and beams. This loft like home is ideal with main level offering open/updated kitchen and dining areas with hardwood floors and brick accent walls. Kitchen features newer appliances, induction stove and Silestone countertops. Direct access through sliders to beautiful North End Alley. Full bath completes the top floor. Downstairs you'll find another living space with a built-in work from home space and large bedroom with loads of closets/built ins for storage. Boutique building, self-managed, owner occupied, and pet friendly and convenient in-building laundry. On The Waterfront in The North End minutes from Faneuil Hall and surrounded by the Seaport District, Greenway, North/South Station, downtown Boston, and all major transportation points. Taxes reflect residential exemption.",Clock: 5 days on Redfin; Condo: Condo; Wrench: Built in 1850; Fence: 908 sq ft lot; Ruler: $784 per sq ft; High end tour: $251 monthly HOA fee; Washer: Shared laundry; New construction: North End,Walk: 100/100 Walker's Paradise | Transit: 100/100 Rider's paradise | Bike: 89/100 Very bikeable
11504161,1095000,2,2,1126,"Flagship Wharf - Charlestown’s Premiere Full Serviced Condominium Building - This 1126 sq ft home offers a Primary bedroom with ensuite bath plus a library with fireplace, that doubles as a guest bedroom/office. An open floor plan of living space with a solarium that looks out on the Constitution, Zakim Bridge, Bunker Hill Monument and Park. These livingroom floor to ceiling windows and glass sliders reveal tranquil views of sunsets. The updated kitchen features dark cabinetry, granite counters and an abundance of extra cabinet storage. This home includes a new HVAC, Garage Valet Parking Space, Washer/Dryer, High Ceilings w/crown molding, hardwood floors throughout, designer lighting, window treatments, extra storage closet and more! This building offers: 24-hour concierge, on-site management, Gym, cafe, hair salon and dry cleaner. Commute to Boston by Water Shuttle, easy access to major highways, Partners Shuttle and Logan Airport.",Clock: 5 days on Redfin; Condo: Condo; Wrench: Built in 1989; Ruler: $972 per sq ft; High end tour: $828 monthly HOA fee; Car: 1 garage space; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Charlestown's Navy Yard,Walk: 77/100 Very Walkable | Transit: 77/100 Excellent transit | Bike: 73/100 Very bikeable
193192769,1450000,2,2,1264,"Luxury brand new construction 2 bedroom, 2 bath penthouse duplex with private deck off living room, on quiet street in Boston’s historic Beacon Hill. All built in Bosch appliances, kitchen island, gas cooktop vented out, Statuary & Carrara marble, white oak hardwood floors throughout and gas fireplace with remote control. Custom cabinets and vanities by Crown Point, primary bathroom fixtures by Watermark Designs, guest bathroom fixtures by Kohler. Deck features Ipe wood with gas, electric & water connections. All new front & rear windows. Laundry with vented dryer in unit; storage included. 5 unit condo building professionally managed. Prominent developer and architect. See attached floor plans, building plans, condo docs and budget.","Clock: 5 days on Redfin; Condo: Condo; Wrench: Built in 1900; Ruler: $1,147 per sq ft; High end tour: $339 monthly HOA fee; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Beacon Hill",Walk: 99/100 Walker's Paradise | Transit: 97/100 Rider's paradise | Bike: 70/100 Very bikeable
193192361,674900,2,2,1146,"Bilevel 2-bedroom, 2-bathroom condo including a PRIVATE fenced in yard crafted by OnPoint Capital. This residence exemplifies modern elegance and is situated in the highly sought-after Eagle Hill neighborhood of East Boston. Upon entering, you'll be greeted by rich, wide plank hardwood floors that extend throughout the living and dining areas. These floors provide a warm, inviting ambiance and serve as the perfect backdrop for a variety of interior design styles. The heart of this home is its state-of-the-art kitchen, a culinary masterpiece featuring sleek, contemporary cabinetry, matte white designer café appliances, and striking quartz countertops. The kitchen is designed for both form and function, with ample prep space, a stylish island, and high-end fixtures that make cooking a pleasure. 148 Lexington Street is more than just a residence; it’s a testament to sophisticated living in one of East Boston’s most desirable areas.",Clock: 5 days on Redfin; Condo: Condo; Wrench: Built in 2024; Ruler: $589 per sq ft; High end tour: $200 monthly HOA fee; Temperature: Has A/C; Washer: Washer and dryer hookups; New construction: East Boston's Eagle Hill,Walk: 91/100 Walker's Paradise | Transit: 73/100 Excellent transit | Bike: 61/100 Bikeable
9298940,789999,3,1,1271,"Prime location on coveted Marine Road! Experience the best of Southie living in this bright and spacious 1,271 sq ft condo, just steps from the beach and the newly renovated Curley Community Center. With its modern updates—gleaming hardwood floors, fresh paint, and upgraded electrical—this home seamlessly blends comfort and style. Sunlit interiors showcase three generously sized bedrooms, laundry in unit and a sleek, refreshed bathroom. The flexible layout features two distinct living spaces—one with a cozy fireplace, the other with a large closet—offering the opportunity to create a fourth bedroom or home office. Step onto the private back deck, perfect for morning coffee or evenings with friends. Currently rented for $4,500/month through August 2025, this is a solid investment or a future dream home in the heart of South Boston!","Clock: 5 days on Redfin; Condo: Condo; Wrench: Built in 1905; Fence: 1,271 sq ft lot; Ruler: $622 per sq ft; High end tour: $210 monthly HOA fee; Temperature: Has A/C; New construction: Boston",Walk: 79/100 Very Walkable | Transit: 47/100 Some transit | Bike: 77/100 Very bikeable
9306512,1379000,3,2,1175,"BEST LOCATION IN BACK BAY. Classic 3 bed 2 bath duplex located on waterside Beacon Street in the heart of Back Bay. Right at Dartmouth and Beacon Street! Period detail including a fireplace, and high ceilings, combined with modern amenities result in a perfectly comfortable home in the best possible location. Hardwood floors, a modern kitchen, central air, a washer/dryer combo, good-sized rooms, and architectural details are all on the checklist for the home you are looking for. Entrance into your condominium building through the Grand front entrance OR rear PRIVATE outdoor space big enough to put a lovely patio set and a motorcycle...and easy access to the esplanade bridge! PARKING AVAIL rent or sale direct access behind the building thru back door.","Clock: 5 days on Redfin; Condo: Condo; Wrench: Built in 1869; Ruler: $1,174 per sq ft; High end tour: $462 monthly HOA fee; Car: 1 parking space; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Back Bay",Walk: 93/100 Walker's Paradise | Transit: 97/100 Rider's paradise | Bike: 85/100 Very bikeable
191012503,1395000,4,2,1946,"Boston Realty Advisors is pleased to present for sale 259-261 Emerson Street. This two-unit multifamily property is located on the East Side of South Boston on one of the most desirable streets just off Broadway. The first-floor unit consists of a one bedroom, one bathroom layout. The second-floor duplex unit consists of three bedroom, one bathroom layout across two levels. Each unit has been renovated and features its own in-unit washer and dryer, stainless steel appliances, and quartz countertops. In the rear of the property is a fenced-in patio space that is common amongst tenants for outdoor enjoyment.","Clock: 5 days on Redfin; Multi family: Multi-family (2-4 unit); Wrench: Built in 1890; Fence: 1,612 sq ft lot; Ruler: $717 per sq ft; New construction: South Boston",Walk: 90/100 Walker's Paradise | Transit: 47/100 Some transit | Bike: 73/100 Very bikeable
